,OFFER,RETAILER,BRAND,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,combined_text,similarity_score
97,barilla® pasta select varieties buy 3,unknown,barilla,525.0,e1e81d2f-3a40-497c-99c8-2ae28e979e25,pesto sauce,pasta sauce,barilla® pasta select varieties buy 3,0.0
98,barilla® pasta select varieties buy 4,unknown,barilla,25852.0,e8d9c191-47c0-46eb-affd-34b08a44ebbc,dry pasta,pasta noodle,barilla® pasta select varieties buy 4,0.0
99,barilla® pasta select varieties buy 4,unknown,barilla,5816.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,barilla® pasta select varieties buy 4,0.0
100,barilla® pasta select varieties buy 4,unknown,barilla,581.0,1f7d2fa7-a1d7-4969-aaf4-1244f232c175,red pasta sauce,pasta sauce,barilla® pasta select varieties buy 4,0.0
101,barilla® pasta select varieties buy 4,unknown,barilla,525.0,e1e81d2f-3a40-497c-99c8-2ae28e979e25,pesto sauce,pasta sauce,barilla® pasta select varieties buy 4,0.0
102,barilla® pasta select varieties buy 2,unknown,barilla,25852.0,e8d9c191-47c0-46eb-affd-34b08a44ebbc,dry pasta,pasta noodle,barilla® pasta select varieties buy 2,0.0
103,barilla® pasta select varieties buy 2,unknown,barilla,5816.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,barilla® pasta select varieties buy 2,0.0
104,barilla® pasta select varieties buy 2,unknown,barilla,581.0,1f7d2fa7-a1d7-4969-aaf4-1244f232c175,red pasta sauce,pasta sauce,barilla® pasta select varieties buy 2,0.0
105,barilla® pasta select varieties buy 2,unknown,barilla,525.0,e1e81d2f-3a40-497c-99c8-2ae28e979e25,pesto sauce,pasta sauce,barilla® pasta select varieties buy 2,0.0
106,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,1489.0,0619fda2-db1e-42c4-87ef-457ae91fca72,cheese,dairy,general mills™ products buy 2 good rewards members,0.0
107,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,961.0,6c9b520a-9049-417a-8487-7053b9d2d8f8,cracker,snack,general mills™ products buy 2 good rewards members,0.0
108,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,541.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,general mills™ products buy 2 good rewards members,0.0
109,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,228.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,general mills™ products buy 2 good rewards members,0.0
110,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,208.0,a2108cb6-b451-46ae-997b-a11bc7ab213a,dressing,pantry,general mills™ products buy 2 good rewards members,0.0
111,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,106.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,general mills™ products buy 2 good rewards members,0.0
112,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,92.0,10fb25a2-7e2f-4a7d-8976-f11b700d6e47,refrigerated dough,dairy,general mills™ products buy 2 good rewards members,0.0
113,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,56.0,ef70e81c-e88f-419c-9cb4-c008ae0eb29a,packaged vegetable,pantry,general mills™ products buy 2 good rewards members,0.0
114,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,52.0,f72793bd-721f-4d0f-8086-3b211446dd4b,frozen meal,frozen,general mills™ products buy 2 good rewards members,0.0
115,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,48.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,general mills™ products buy 2 good rewards members,0.0
116,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,38.0,7445be6b-29f8-4abb-a35f-8df1c8ad87c4,frozen pizza pizza snack,frozen,general mills™ products buy 2 good rewards members,0.0
117,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,32.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,general mills™ products buy 2 good rewards members,0.0
118,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,20.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,general mills™ products buy 2 good rewards members,0.0
119,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,18.0,7414fc82-da85-4772-8c52-6067b369b780,frozen breakfast,frozen,general mills™ products buy 2 good rewards members,0.0
120,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,15.0,ee7d461c-afec-4dd8-b06e-c3de3ea040fe,cooky,snack,general mills™ products buy 2 good rewards members,0.0
121,general mills™ products buy 2 good rewards members,unknown,annies homegrown grocery,14.0,c1348b24-5f57-4ad6-bc81-a114368acb19,soup broth,pantry,general mills™ products buy 2 good rewards members,0.0
122,general mills™ products select brands spend 35,unknown,annies homegrown grocery,1489.0,0619fda2-db1e-42c4-87ef-457ae91fca72,cheese,dairy,general mills™ products select brands spend 35,0.0
123,general mills™ products select brands spend 35,unknown,annies homegrown grocery,961.0,6c9b520a-9049-417a-8487-7053b9d2d8f8,cracker,snack,general mills™ products select brands spend 35,0.0
124,general mills™ products select brands spend 35,unknown,annies homegrown grocery,541.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,general mills™ products select brands spend 35,0.0
125,general mills™ products select brands spend 35,unknown,annies homegrown grocery,228.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,general mills™ products select brands spend 35,0.0
126,general mills™ products select brands spend 35,unknown,annies homegrown grocery,208.0,a2108cb6-b451-46ae-997b-a11bc7ab213a,dressing,pantry,general mills™ products select brands spend 35,0.0
127,general mills™ products select brands spend 35,unknown,annies homegrown grocery,106.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,general mills™ products select brands spend 35,0.0
128,general mills™ products select brands spend 35,unknown,annies homegrown grocery,92.0,10fb25a2-7e2f-4a7d-8976-f11b700d6e47,refrigerated dough,dairy,general mills™ products select brands spend 35,0.0
129,general mills™ products select brands spend 35,unknown,annies homegrown grocery,56.0,ef70e81c-e88f-419c-9cb4-c008ae0eb29a,packaged vegetable,pantry,general mills™ products select brands spend 35,0.0
130,general mills™ products select brands spend 35,unknown,annies homegrown grocery,52.0,f72793bd-721f-4d0f-8086-3b211446dd4b,frozen meal,frozen,general mills™ products select brands spend 35,0.0
131,general mills™ products select brands spend 35,unknown,annies homegrown grocery,48.0,c7f51b3a-c2a6-4818-93cf-9cfbd58c2622,chip,snack,general mills™ products select brands spend 35,0.0
132,general mills™ products select brands spend 35,unknown,annies homegrown grocery,38.0,7445be6b-29f8-4abb-a35f-8df1c8ad87c4,frozen pizza pizza snack,frozen,general mills™ products select brands spend 35,0.0
133,general mills™ products select brands spend 35,unknown,annies homegrown grocery,32.0,44fbc64b-4a38-4bc7-a80c-d11c821eb3e4,cereal granola toaster pastry,pantry,general mills™ products select brands spend 35,0.0
134,general mills™ products select brands spend 35,unknown,annies homegrown grocery,20.0,f1a38ab2-67a0-4863-9802-2b16a181e722,bread,pantry,general mills™ products select brands spend 35,0.0
135,general mills™ products select brands spend 35,unknown,annies homegrown grocery,18.0,7414fc82-da85-4772-8c52-6067b369b780,frozen breakfast,frozen,general mills™ products select brands spend 35,0.0
136,general mills™ products select brands spend 35,unknown,annies homegrown grocery,15.0,ee7d461c-afec-4dd8-b06e-c3de3ea040fe,cooky,snack,general mills™ products select brands spend 35,0.0
137,general mills™ products select brands spend 35,unknown,annies homegrown grocery,14.0,c1348b24-5f57-4ad6-bc81-a114368acb19,soup broth,pantry,general mills™ products select brands spend 35,0.0
138,general mills™ products select brands spend 7 convenience stores,unknown,annies homegrown grocery,1489.0,0619fda2-db1e-42c4-87ef-457ae91fca72,cheese,dairy,general mills™ products select brands spend 7 convenience stores,0.0
139,general mills™ products select brands spend 7 convenience stores,unknown,annies homegrown grocery,961.0,6c9b520a-9049-417a-8487-7053b9d2d8f8,cracker,snack,general mills™ products select brands spend 7 convenience stores,0.0
140,general mills™ products select brands spend 7 convenience stores,unknown,annies homegrown grocery,541.0,09f3decc-aa93-460d-936c-0ddf06b055a3,cooking baking,pantry,general mills™ products select brands spend 7 convenience stores,0.0
141,general mills™ products select brands spend 7 convenience stores,unknown,annies homegrown grocery,228.0,0f6c46e7-8a8c-422e-8005-7d178a688da5,fruit vegetable snack,snack,general mills™ products select brands spend 7 convenience stores,0.0
